A	Coef.CellType	Coef.CancerType.Epithelial	Coef.CancerType.Lyphocytes	t.CellType	t.CancerType.Epithelial	t.CancerType.Lyphocytes	p.value.CellType	p.value.CancerType.Epithelial	p.value.CancerType.Lyphocytes	F	F.p.value
9.9	-0.205	0.356	0.016	-1.31	1.56	0.07	0.21652	0.1477	0.94196	1.38	0.29957
8.06	-0.379	0.11	0.002	-2.74	0.54	0.01	0.01909	0.59805	0.99363	2.62	0.10251
9.31	0.249	-0.087	-0.05	2.82	-0.68	-0.42	0.01658	0.51234	0.68383	2.81	0.08864
7.39	0.125	0.184	-0.082	1.29	1.29	-0.61	0.22444	0.22228	0.55173	1.19	0.35827
11.02	0.009	0.086	0.082	0.12	0.76	0.78	0.90833	0.4604	0.45186	0.41	0.74886
8.77	0.37	-0.243	0.011	3.22	-1.44	0.07	0.00804	0.17624	0.94553	4.2	0.03251
8.58	0.519	-0.081	-0.187	2.44	-0.26	-0.64	0.03238	0.79903	0.53233	2.07	0.16197
9.78	0.597	-0.91	0.362	4.23	-4.42	1.88	0.00138	0.00101	0.08686	14.23	4e-04
6.71	0.015	-0.247	0.166	0.06	-0.68	0.48	0.95437	0.513	0.63721	0.23	0.87059
5.76	0.334	-0.038	-0.154	2.24	-0.18	-0.75	0.04656	0.8639	0.46631	1.78	0.20887
8.1	1.779	-0.094	0.047	12.68	-0.46	0.24	0	0.65541	0.81249	54.44	0
8.28	3.484	0.113	-0.898	9.56	0.21	-1.8	0	0.83621	0.09826	30.75	1e-05
7.44	-1.597	-0.411	-1.237	-2.69	-0.47	-1.53	0.02069	0.64432	0.15456	3.57	0.05004
10.01	0.684	0.739	0.418	3.9	2.88	1.75	0.00243	0.01472	0.10828	9.37	0.00224
8.61	-0.266	-0.02	-0.09	-1.61	-0.08	-0.4	0.13445	0.9362	0.69738	0.98	0.43892
8.81	0.122	0.411	-0.168	0.65	1.5	-0.65	0.53116	0.16242	0.52724	1	0.42763
9.42	-0.331	0.077	-0.112	-2.35	0.38	-0.58	0.03828	0.71433	0.57226	2.11	0.15658
8.38	0.187	-0.07	-0.02	1.79	-0.46	-0.14	0.09995	0.65676	0.8903	1.14	0.37408
6.14	-0.174	0.037	-0.04	-1.62	0.24	-0.27	0.13347	0.81671	0.7885	0.96	0.44732
8.61	0.025	0.021	0.096	0.25	0.14	0.7	0.80795	0.8894	0.49664	0.21	0.8906
